CITY,STATE_ABBR,GEOID
Saginaw,MI,2670520
Salisbury,MD,2469925
Murray,UT,4953230
Encinitas,CA,0622678
Sandusky,OH,3970380
San Rafael,CA,0668364
South San Francisco,CA,0673262
Cupertino,CA,0617610
San Juan,PR,4865516
El Paso de Robles (Paso Robles),CA,0622300
San Luis Obispo,CA,0668154
Santa Cruz,CA,0669112
Watsonville,CA,0683668
Petaluma,CA,0656784
Wilkes-Barre,PA,4285152
Lakewood,WA,5338038
Sebastian,FL,1264825
Vero Beach,FL,1274150
West Vero Corridor,FL,1276937
Sebring,FL,1264875
Sheboygan,WI,5572975
Denison,TX,4819900
Sherman,TX,4867496
Bossier City,LA,2208920
Douglas,AZ,0420050
Sierra Vista,AZ,0466820
Covington,LA,2218125
Mandeville,LA,2248225
Slidell,LA,2270805
Mishawaka,IN,1849932
Spartanburg,SC,4568290
Springfield,OH,3974118
State College,PA,4273808
Staunton,VA,5175216
Stuarts Draft,VA,5176272
Sumter,SC,4570405
Pinellas Park,FL,1256975
Terre Haute,IN,1875428
Texarkana,TX,4872368
Traverse City,MI,2680340
Princeton,NJ,3460900
Twin Falls,ID,1682810
Rome,NY,3663418
Utica,NY,3676540
Valdosta,GA,1378800
Vineland,NJ,3476070
Walla Walla,WA,5375775
Bethesda,MD,3906138
North Bethesda,MD,2456337
McLean,VA,5148376
Shelton,CT,0968100
Cedar Falls,IA,1911755
Fort Drum,NY,3626759
Watertown,NY,3678608
Wausau,WI,5584475
Steubenville,OH,3974608
Weirton,WV,5485156
East Wenatchee,WA,5320155
Wenatchee,WA,5377105
Wheeling,WV,5486452
Wildwood,FL,1277675
Williamsport,PA,4285312
Winchester,VA,5186720
Hanover,PA,4232448
York,PA,4287048
Warren,OH,3980892
Youngstown,OH,3988000
